Name,traffic_april8,traffic_april9,traffic_april10,traffic_april11,traffic_april12,traffic_april13
BROADWAY,8.25,1.75,6847.0,6817.0,6664.75,7295.5
25 AV,4354.25,3645.25,7217.75,6988.5,6837.5,7250.0
TREMONT AV,12373.0,10065.75,15248.5,15638.0,14137.4076782,15388.25
WALL ST,511.0,358.0,49978.0,52234.0,52558.0,54068.0
DELANCEY/ESSEX,34387.0,28998.25,39504.25,41100.25,40989.300805,43965.25
BAY RIDGE-95 ST,5370.0,4346.0,9594.0,9762.0,9649.0,9692.0
25 ST,3443.0,2940.0,6424.0,6529.0,6587.0,6641.0
170 ST,7824.5,6498.5,9910.5,9862.0,9466.75,9366.34582679
FRESH POND RD,182.0,6.0,11776.25,12170.0,11957.0,11814.5
FLUSHING-MAIN,77201.0,62468.0,104155.0,104793.0,99985.0,104339.0
137 ST CITY COL,17730.5,15526.75,22193.5,23288.25,24162.5,23921.5
85 ST-FOREST PK,177.0,45.0,5354.0,5385.0,5397.0,5503.0
SHEPHERD AV,3373.5,2945.25,4548.75,4641.0,4532.75,4548.5
ASTORIA BLVD,13363.0,10779.0,19753.0,20461.0,20684.0,20787.0
121 ST,30.0,15.0,1115.0,994.0,1027.0,1058.0
JAMAICA VAN WK,13604.75,10311.5,10191.75,9636.53007298,10146.25,10312.75
MT EDEN AV,6346.0,4986.0,8867.0,8947.0,8821.0,8813.0
BEACH 60 ST,2885.0,2433.0,4014.0,4077.0,3857.0,3970.0
CRESCENT ST,16041.25,14361.75,9335.69680042,9578.25,9175.0,9354.25
CHRISTOPHER ST,25030.5238095,19222.9047619,27959.4429596,29571.8095238,30369.2030075,31515.875222
207 ST,7675.0,6386.0,9130.0,9261.0,8993.0,9283.0
55 ST,918.0,1502.0,2725.0,1974.0,1866.0,3287.0
COURT SQ-23 ST,5074.0,4277.0,10835.0,11015.0,11223.0,11028.0
CITY HALL,5726.0,4740.0,11130.0,12090.0,11501.0,12039.0
BERGEN ST,11731.0,10215.0,16680.25,16468.75,16828.5,17560.0
PELHAM BAY PARK,7578.0,6548.0,11649.0,11505.0,11329.0,11544.0
231 ST,7485.0,6141.0,10844.0,10872.0,10572.0,11014.0
YORK ST,9653.0,11034.0,15021.75,16474.0,15134.75,16345.25
4 AV-9 ST,6952.0,5635.0,8145.0,8030.0,8159.0,8441.0
FREEMAN ST,5776.5,4918.0,8169.0,8576.0,8479.75,8475.0
PATH WTC 2,4784.76190476,4860.47619048,13395.952381,14192.7732339,12465.1218256,14391.6869531
5 AV/59 ST,19100.5,20623.5,32168.0,35742.0,31565.5,33051.0
JAMAICA CENTER,35576.0,25539.0,68881.2032113,72105.0,69686.0,69157.0
HARLEM 148 ST,4676.0,3893.0,6486.0,6637.0,6699.0,6681.0
3 AV-149 ST,21031.0,15814.0,30711.0,30493.5265829,30873.0,31815.0
CARROLL ST,9500.0,7629.0,14409.0,14824.0,14928.0,15275.0
52 ST,8750.0,7639.5,12238.25,12516.25,12001.25,12232.25
SHEEPSHEAD BAY,13446.0,11953.0,25437.75,24996.75,25015.0,25596.75
90 ST-ELMHURST,19729.0,16010.0,23699.3265975,23520.2501492,24207.0,24583.0
WOODHAVEN BLVD,315.0,154.0,6312.28300189,6534.0,6493.0,6481.0
WESTCHESTER SQ,6962.0,5095.0,11483.0,10901.0,11385.0,11327.0
182-183 STS,4605.0,3731.0,6430.0,6547.0,6312.0,6609.0
MIDDLETOWN RD,1763.25,1400.0,3913.75,3610.75,3945.75,3803.5
CLEVELAND ST,3832.0,3110.75,5729.25,6046.25,5806.75,5974.5
WEST FARMS SQ,7639.75,6942.25,11851.25,12475.75,13449.0,11784.5
DYCKMAN ST,4946.5,4280.5,6554.0,6805.5,6084.73679059,6881.0
33 ST-RAWSON ST,7277.0,4255.0,15986.0,15473.0,15776.0,15527.0
BRIGHTON BEACH,11384.0,10511.0,17698.0,18282.0,16767.0,17347.0
BAY PKWY,6643.75,6038.25,14946.75,14242.5,13884.25,14358.5
80 ST,4086.75,3371.0,6395.0,6553.75,6525.75,6518.75
59 ST COLUMBUS,90240.0,79172.0,123467.987934,133794.0,129152.0,133477.0
63 DR-REGO PARK,14408.0,11911.0,22049.0,21487.0,21292.5295136,22747.0
BEACH 98 ST,464.75,444.5,847.5,887.0,736.75,761.5
COURT SQ,8781.0,7716.0,9511.0,8360.71052142,9988.0,9917.0
ZEREGA AV,2753.0,2324.5,4851.25,4692.75,4895.0,4919.0
ELDER AV,9200.0,7674.0,12160.75,11088.25,11645.5,11919.75
NORWOOD AV,3810.5,3121.5,6273.0,6409.5,6289.25,5852.70408086
18 ST,8928.0,6317.0,12049.0,12711.0,13200.0,14098.0
WINTHROP ST,3870.0,2816.25,7613.25,7771.5,7948.5,8008.25
167 ST,11546.0,9158.0,14134.0,14525.0,13761.0,14073.0
SMITH-9 ST,7388.0,5141.0,9522.0,9486.0,9269.0,9852.0
225 ST,4131.0,3260.25,5846.5,6057.0,5833.75,5793.25
163 ST-AMSTERDM,4252.75,3850.25,5455.25,5557.0,5701.25,5717.0
METROPOLITAN AV,7.0,6.0,8169.0,8652.0,8384.0,8578.0
MOSHOLU PKWY,6642.0,5363.25,10392.0,10528.5,10462.0,10360.25
MORGAN AV,10630.0,8738.0,10084.0,10390.0,9933.0,10516.0
JACKSON AV,4374.5,3524.0,6198.25,6221.75,6087.5,6083.25
155 ST,3616.0,3265.0,4342.25,4519.58103188,4643.5,4719.0
EUCLID AV,9511.0,7787.0,13012.0,13396.0,12726.0,13174.0
E 180 ST,14720.5,12289.0,13303.25,14113.75,13965.25,12855.0
BROOK AV,8249.5,6826.75,10793.75,10049.25,10685.25,10736.75
96 ST-2 AVE,20190.25,16251.25,27117.0,28228.5,28704.25,29624.5
NOSTRAND AV,23670.0,18823.0,28242.0,29016.0,28109.4592792,29391.0
WOODLAWN,5780.0,4305.0,8869.0,8889.0,8562.0,8795.0
ROCKAWAY BLVD,6384.25,5022.25,9619.75,10102.75,9691.75,9390.65044864
40 ST LOWERY ST,13272.0,10839.0,18487.0,18744.0,18291.0,18579.0
4AV-9 ST,9061.0,7355.0,14795.0,14833.0,14890.0,14156.7434509
LAFAYETTE AV,7419.75,5843.5,6387.25,6618.75,6390.75,6299.0
WHITEHALL S-FRY,20135.5,16756.25,39204.25,41089.5,36363.75,40532.75
B'WAY-LAFAYETTE,33673.0,25410.25,50265.25,53346.25,53238.0,58472.75
CLARK ST,32.0,4.0,9267.0,10595.0,9035.0,10102.0
RIT-ROOSEVELT,4368.75,4812.75,4531.75,4660.0,4343.5,5488.75
BRONX PARK EAST,2002.0,1709.25,3549.0,3648.5,3436.0,3513.0
8 AV,19746.5,22012.25,25884.5,26800.5,24155.0,24000.25
CANAL ST,68114.25,55178.75,79953.25,83110.6886636,81421.75,86192.8863752
5 AVE,10951.0,8382.0,25070.0,25521.0,25043.0,26692.0
SIMPSON ST,7258.3,5782.45,10538.5,12171.5,10705.0,10722.25
CENTRAL AV,0.0,0.0,6532.0,6983.5,6955.25,7015.75
BUSHWICK AV,2809.0,2311.0,3261.0,3373.0,3254.0,3318.0
JEFFERSON ST,8371.0,6711.0,8989.0,8570.0,8853.0,9125.0
BROADWAY JCT,14894.0,12397.0,16636.0,17424.0,16788.0,16851.0
THIRTY ST,6031.01503759,5299.77443609,21480.9899749,24666.3003663,24262.6756509,24613.9348371
61 ST WOODSIDE,23742.75,19704.75,34023.5,34390.25,34449.25,34512.5
EXCHANGE PLACE,9371.89223058,8389.9609803,33704.835064,34613.0379093,34081.5295559,34046.9058374
174-175 STS,5696.0,4307.0,7086.0,7140.86266181,7124.0,7000.0
HOYT-SCHER,12896.0,9754.0,18905.0,19536.0,18701.0,20423.0
BOTANIC GARDEN,2508.5,2175.0,2356.5,3622.75,2757.75,2846.25
103 ST,5649.75,4921.75,7622.0,7584.01927861,7544.5,7945.0
